Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0880186,7,2025-03-23,"King of the Hill: Bobby Rae","King of the Hill: Bobby Rae",https://www.imdb.com/title/tt0880186,TV Episode,6.8,22,2007,"Animation, Drama, Comedy",335,"2007-09-30","Ken Wong,Wesley Archer"
tt4772188,8,2025-03-22,"Flow","Straume",https://www.imdb.com/title/tt4772188,Movie,7.9,85,2024,"Animation, Adventure, Fantasy, Family",61595,"2024-08-29","Gints Zilbalodis"
tt1111013,7,2025-03-19,"King of the Hill: Suite Smells of Excess","King of the Hill: Suite Smells of Excess",https://www.imdb.com/title/tt1111013,TV Episode,7.6,23,2007,"Animation, Drama, Comedy",359,"2007-09-23","Michael Loya,Wesley Archer"
tt1037478,7,2025-03-18,"King of the Hill: Bill, Bulk and the Body Buddies","King of the Hill: Bill, Bulk and the Body Buddies",https://www.imdb.com/title/tt1037478,TV Episode,7.6,22,2007,"Animation, Drama, Comedy",361,"2007-05-20","Tricia Garcia,Wesley Archer"
tt1037479,8,2025-03-18,"King of the Hill: Lucky's Wedding Suit","King of the Hill: Lucky's Wedding Suit",https://www.imdb.com/title/tt1037479,TV Episode,7.3,22,2007,"Animation, Drama, Comedy",312,"2007-05-20","Julius Wu,Wesley Archer"
tt1033229,7,2025-03-17,"King of the Hill: Hair Today, Gone Today","King of the Hill: Hair Today, Gone Today",https://www.imdb.com/title/tt1033229,TV Episode,7.0,23,2007,"Animation, Drama, Comedy",304,"2007-05-13","Kyoung Hee Lim,Wesley Archer"
tt1028739,7,2025-03-17,"King of the Hill: Peggy's Gone to Pots","King of the Hill: Peggy's Gone to Pots",https://www.imdb.com/title/tt1028739,TV Episode,7.1,23,2007,"Animation, Drama, Comedy",316,"2007-05-06","Robin Brigstocke,Wesley Archer"
tt1028738,8,2025-03-13,"King of the Hill: Grand Theft Arlen","King of the Hill: Grand Theft Arlen",https://www.imdb.com/title/tt1028738,TV Episode,8.0,23,2007,"Animation, Drama, Comedy",371,"2007-04-29","Ronald Rubio,Wesley Archer"
tt1022407,7,2025-03-13,"King of the Hill: The Passion of the Dauterive","King of the Hill: The Passion of the Dauterive",https://www.imdb.com/title/tt1022407,TV Episode,7.0,23,2007,"Animation, Drama, Comedy",316,"2007-04-29","Anthony Chun,Wesley Archer"
tt1022406,7,2025-03-12,"King of the Hill: Glen Peggy Glen Ross","King of the Hill: Glen Peggy Glen Ross",https://www.imdb.com/title/tt1022406,TV Episode,6.8,22,2007,"Animation, Drama, Comedy",319,"2007-04-22","Tony Kluck,Wesley Archer"
